Game ID,Wk,Day,Date,Time,Home,xG Home,G Home,Away,xG Away,G Away,League,Season,Score,Match Link
0,1.0,Sat,2019-08-24,18:00,Parma,0.3,0,Juventus,1.4,1,Serie-A,2019-2020,-1,https://fbref.com/en/matches/2b01c68a/Parma-Juventus-August-24-2019-Serie-A
1,1.0,Sat,2019-08-24,20:45,Fiorentina,1.7,3,Napoli,2.0,4,Serie-A,2019-2020,-1,https://fbref.com/en/matches/de16a772/Fiorentina-Napoli-August-24-2019-Serie-A
2,1.0,Sun,2019-08-25,18:00,Udinese,0.8,1,Milan,0.7,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/5d32941f/Udinese-Milan-August-25-2019-Serie-A
3,1.0,Sun,2019-08-25,20:45,SPAL,1.6,2,Atalanta,1.8,3,Serie-A,2019-2020,-1,https://fbref.com/en/matches/0326af7e/SPAL-Atalanta-August-25-2019-Serie-A
4,1.0,Sun,2019-08-25,20:45,Roma,2.5,3,Genoa,1.3,3,Serie-A,2019-2020,0,https://fbref.com/en/matches/3ac8069d/Roma-Genoa-August-25-2019-Serie-A
5,1.0,Sun,2019-08-25,20:45,Torino,1.2,2,Sassuolo,1.3,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/6237b77f/Torino-Sassuolo-August-25-2019-Serie-A
6,1.0,Sun,2019-08-25,20:45,Hellas Verona,0.2,1,Bologna,1.8,1,Serie-A,2019-2020,0,https://fbref.com/en/matches/a8b82bb0/Hellas-Verona-Bologna-August-25-2019-Serie-A
7,1.0,Sun,2019-08-25,20:45,Sampdoria,0.7,0,Lazio,1.8,3,Serie-A,2019-2020,-1,https://fbref.com/en/matches/de72f334/Sampdoria-Lazio-August-25-2019-Serie-A
8,1.0,Sun,2019-08-25,20:45,Cagliari,1.2,0,Brescia,1.3,1,Serie-A,2019-2020,-1,https://fbref.com/en/matches/fb06cc65/Cagliari-Brescia-August-25-2019-Serie-A
9,1.0,Mon,2019-08-26,20:45,Inter,1.7,4,Lecce,0.6,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/813ea7be/Internazionale-Lecce-August-26-2019-Serie-A
11,2.0,Fri,2019-08-30,20:45,Bologna,4.0,1,SPAL,0.8,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/ba549b1e/Bologna-SPAL-August-30-2019-Serie-A
12,2.0,Sat,2019-08-31,18:00,Milan,1.5,1,Brescia,0.7,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/27c01148/Milan-Brescia-August-31-2019-Serie-A
13,2.0,Sat,2019-08-31,20:45,Juventus,1.8,4,Napoli,1.4,3,Serie-A,2019-2020,1,https://fbref.com/en/matches/14afe9c6/Juventus-Napoli-August-31-2019-Serie-A
14,2.0,Sun,2019-09-01,18:00,Lazio,2.2,1,Roma,1.3,1,Serie-A,2019-2020,0,https://fbref.com/en/matches/5f3fe07d/Lazio-Roma-September-1-2019-Serie-A
15,2.0,Sun,2019-09-01,20:45,Sassuolo,2.2,4,Sampdoria,1.3,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/1dea6b5e/Sassuolo-Sampdoria-September-1-2019-Serie-A
16,2.0,Sun,2019-09-01,20:45,Udinese,1.4,1,Parma,1.3,3,Serie-A,2019-2020,-1,https://fbref.com/en/matches/2b67d770/Udinese-Parma-September-1-2019-Serie-A
17,2.0,Sun,2019-09-01,20:45,Genoa,2.1,2,Fiorentina,1.9,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/355e9742/Genoa-Fiorentina-September-1-2019-Serie-A
18,2.0,Sun,2019-09-01,20:45,Cagliari,0.5,1,Inter,1.7,2,Serie-A,2019-2020,-1,https://fbref.com/en/matches/5dba4b71/Cagliari-Internazionale-September-1-2019-Serie-A
19,2.0,Sun,2019-09-01,20:45,Lecce,0.9,0,Hellas Verona,1.4,1,Serie-A,2019-2020,-1,https://fbref.com/en/matches/a9c723e3/Lecce-Hellas-Verona-September-1-2019-Serie-A
20,2.0,Sun,2019-09-01,20:45,Atalanta,1.8,2,Torino,0.8,3,Serie-A,2019-2020,-1,https://fbref.com/en/matches/e55b020e/Atalanta-Torino-September-1-2019-Serie-A
22,3.0,Sat,2019-09-14,15:00,Fiorentina,1.8,0,Juventus,0.4,0,Serie-A,2019-2020,0,https://fbref.com/en/matches/79509455/Fiorentina-Juventus-September-14-2019-Serie-A
23,3.0,Sat,2019-09-14,18:00,Napoli,1.6,2,Sampdoria,2.2,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/a47ce106/Napoli-Sampdoria-September-14-2019-Serie-A
24,3.0,Sat,2019-09-14,20:45,Inter,1.6,1,Udinese,0.3,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/a56b68f2/Internazionale-Udinese-September-14-2019-Serie-A
25,3.0,Sun,2019-09-15,12:30,Genoa,1.4,1,Atalanta,2.5,2,Serie-A,2019-2020,-1,https://fbref.com/en/matches/7fb132b4/Genoa-Atalanta-September-15-2019-Serie-A
26,3.0,Sun,2019-09-15,15:00,Brescia,1.3,3,Bologna,3.0,4,Serie-A,2019-2020,-1,https://fbref.com/en/matches/3d263c0c/Brescia-Bologna-September-15-2019-Serie-A
27,3.0,Sun,2019-09-15,15:00,SPAL,1.3,2,Lazio,1.4,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/6d0c347f/SPAL-Lazio-September-15-2019-Serie-A
28,3.0,Sun,2019-09-15,15:00,Parma,1.8,1,Cagliari,0.5,3,Serie-A,2019-2020,-1,https://fbref.com/en/matches/c88fa28b/Parma-Cagliari-September-15-2019-Serie-A
29,3.0,Sun,2019-09-15,18:00,Roma,2.6,4,Sassuolo,1.3,2,Serie-A,2019-2020,1,https://fbref.com/en/matches/ab5a64e6/Roma-Sassuolo-September-15-2019-Serie-A
30,3.0,Sun,2019-09-15,20:45,Hellas Verona,0.5,0,Milan,1.4,1,Serie-A,2019-2020,-1,https://fbref.com/en/matches/798a19ce/Hellas-Verona-Milan-September-15-2019-Serie-A
31,3.0,Mon,2019-09-16,20:45,Torino,2.0,1,Lecce,1.1,2,Serie-A,2019-2020,-1,https://fbref.com/en/matches/fb27614b/Torino-Lecce-September-16-2019-Serie-A
33,4.0,Fri,2019-09-20,20:45,Cagliari,1.2,3,Genoa,1.1,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/7b837163/Cagliari-Genoa-September-20-2019-Serie-A
34,4.0,Sat,2019-09-21,15:00,Udinese,0.6,0,Brescia,0.8,1,Serie-A,2019-2020,-1,https://fbref.com/en/matches/d5dc14b8/Udinese-Brescia-September-21-2019-Serie-A
35,4.0,Sat,2019-09-21,18:00,Juventus,1.9,2,Hellas Verona,1.6,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/c6a08826/Juventus-Hellas-Verona-September-21-2019-Serie-A
36,4.0,Sat,2019-09-21,20:45,Milan,1.0,0,Inter,2.1,2,Serie-A,2019-2020,-1,https://fbref.com/en/matches/8d99b6b9/Derby-della-Madonnina-Milan-Internazionale-September-21-2019-Serie-A
37,4.0,Sun,2019-09-22,12:30,Sassuolo,1.6,3,SPAL,1.1,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/af15f020/Sassuolo-SPAL-September-22-2019-Serie-A
38,4.0,Sun,2019-09-22,15:00,Bologna,1.3,1,Roma,1.5,2,Serie-A,2019-2020,-1,https://fbref.com/en/matches/48229e4d/Bologna-Roma-September-22-2019-Serie-A
39,4.0,Sun,2019-09-22,15:00,Sampdoria,1.6,1,Torino,0.3,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/847fbff1/Sampdoria-Torino-September-22-2019-Serie-A
40,4.0,Sun,2019-09-22,15:00,Lecce,1.5,1,Napoli,2.9,4,Serie-A,2019-2020,-1,https://fbref.com/en/matches/d110cc88/Lecce-Napoli-September-22-2019-Serie-A
41,4.0,Sun,2019-09-22,18:00,Atalanta,1.6,2,Fiorentina,1.0,2,Serie-A,2019-2020,0,https://fbref.com/en/matches/ab7e6f6a/Atalanta-Fiorentina-September-22-2019-Serie-A
42,4.0,Sun,2019-09-22,20:45,Lazio,1.7,2,Parma,0.5,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/38ef4b7d/Lazio-Parma-September-22-2019-Serie-A
44,5.0,Tue,2019-09-24,19:00,Hellas Verona,1.0,0,Udinese,0.6,0,Serie-A,2019-2020,0,https://fbref.com/en/matches/98d312ac/Hellas-Verona-Udinese-September-24-2019-Serie-A
45,5.0,Tue,2019-09-24,21:00,Brescia,0.7,1,Juventus,1.7,2,Serie-A,2019-2020,-1,https://fbref.com/en/matches/4317b763/Brescia-Juventus-September-24-2019-Serie-A
46,5.0,Wed,2019-09-25,19:00,Roma,1.8,0,Atalanta,1.8,2,Serie-A,2019-2020,-1,https://fbref.com/en/matches/95b95a98/Roma-Atalanta-September-25-2019-Serie-A
47,5.0,Wed,2019-09-25,21:00,Fiorentina,1.6,2,Sampdoria,0.5,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/1fb0e314/Fiorentina-Sampdoria-September-25-2019-Serie-A
48,5.0,Wed,2019-09-25,21:00,Napoli,2.0,0,Cagliari,0.5,1,Serie-A,2019-2020,-1,https://fbref.com/en/matches/5a8c1572/Napoli-Cagliari-September-25-2019-Serie-A
49,5.0,Wed,2019-09-25,21:00,Genoa,0.3,0,Bologna,1.7,0,Serie-A,2019-2020,0,https://fbref.com/en/matches/5dd39b2c/Genoa-Bologna-September-25-2019-Serie-A
50,5.0,Wed,2019-09-25,21:00,Inter,1.5,1,Lazio,1.2,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/7e76d4d6/Internazionale-Lazio-September-25-2019-Serie-A
51,5.0,Wed,2019-09-25,21:00,SPAL,1.0,1,Lecce,2.2,3,Serie-A,2019-2020,-1,https://fbref.com/en/matches/a7d7a94e/SPAL-Lecce-September-25-2019-Serie-A
52,5.0,Wed,2019-09-25,21:00,Parma,1.7,1,Sassuolo,0.5,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/bed42d99/Parma-Sassuolo-September-25-2019-Serie-A
53,5.0,Thu,2019-09-26,21:00,Torino,1.2,2,Milan,2.8,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/b3269aca/Torino-Milan-September-26-2019-Serie-A
55,6.0,Sat,2019-09-28,15:00,Juventus,2.0,2,SPAL,0.2,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/0d46187e/Juventus-SPAL-September-28-2019-Serie-A
56,6.0,Sat,2019-09-28,18:00,Sampdoria,1.1,1,Inter,2.2,3,Serie-A,2019-2020,-1,https://fbref.com/en/matches/a1177e74/Sampdoria-Internazionale-September-28-2019-Serie-A
57,6.0,Sat,2019-09-28,20:45,Sassuolo,0.5,1,Atalanta,2.3,4,Serie-A,2019-2020,-1,https://fbref.com/en/matches/c822ab60/Sassuolo-Atalanta-September-28-2019-Serie-A
58,6.0,Sun,2019-09-29,12:30,Napoli,2.0,2,Brescia,1.1,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/86a3ee41/Napoli-Brescia-September-29-2019-Serie-A
59,6.0,Sun,2019-09-29,15:00,Udinese,0.7,1,Bologna,1.3,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/1ace8aaa/Udinese-Bologna-September-29-2019-Serie-A
60,6.0,Sun,2019-09-29,15:00,Lecce,0.7,0,Roma,2.1,1,Serie-A,2019-2020,-1,https://fbref.com/en/matches/4c786abf/Lecce-Roma-September-29-2019-Serie-A
61,6.0,Sun,2019-09-29,15:00,Lazio,1.4,4,Genoa,0.9,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/d62041b9/Lazio-Genoa-September-29-2019-Serie-A
62,6.0,Sun,2019-09-29,18:00,Cagliari,1.8,1,Hellas Verona,1.6,1,Serie-A,2019-2020,0,https://fbref.com/en/matches/527484ae/Cagliari-Hellas-Verona-September-29-2019-Serie-A
63,6.0,Sun,2019-09-29,20:45,Milan,0.6,1,Fiorentina,2.5,3,Serie-A,2019-2020,-1,https://fbref.com/en/matches/ec745de3/Milan-Fiorentina-September-29-2019-Serie-A
64,6.0,Mon,2019-09-30,20:45,Parma,3.6,3,Torino,2.2,2,Serie-A,2019-2020,1,https://fbref.com/en/matches/855b79d4/Parma-Torino-September-30-2019-Serie-A
66,7.0,Sat,2019-10-05,15:00,SPAL,1.2,1,Parma,0.4,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/d91017ad/SPAL-Parma-October-5-2019-Serie-A
67,7.0,Sat,2019-10-05,18:00,Hellas Verona,0.7,2,Sampdoria,0.8,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/6a7d53e1/Hellas-Verona-Sampdoria-October-5-2019-Serie-A
68,7.0,Sat,2019-10-05,20:45,Genoa,1.6,1,Milan,1.6,2,Serie-A,2019-2020,-1,https://fbref.com/en/matches/18840243/Genoa-Milan-October-5-2019-Serie-A
69,7.0,Sun,2019-10-06,12:30,Fiorentina,1.1,1,Udinese,0.9,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/109f472f/Fiorentina-Udinese-October-6-2019-Serie-A
70,7.0,Sun,2019-10-06,15:00,Bologna,3.2,2,Lazio,1.8,2,Serie-A,2019-2020,0,https://fbref.com/en/matches/686d7ed4/Bologna-Lazio-October-6-2019-Serie-A
71,7.0,Sun,2019-10-06,15:00,Roma,1.7,1,Cagliari,1.1,1,Serie-A,2019-2020,0,https://fbref.com/en/matches/c1eb9f50/Roma-Cagliari-October-6-2019-Serie-A
72,7.0,Sun,2019-10-06,15:00,Atalanta,3.4,3,Lecce,1.3,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/fe310ec0/Atalanta-Lecce-October-6-2019-Serie-A
73,7.0,Sun,2019-10-06,18:00,Torino,0.6,0,Napoli,0.9,0,Serie-A,2019-2020,0,https://fbref.com/en/matches/66ed3756/Torino-Napoli-October-6-2019-Serie-A
74,7.0,Sun,2019-10-06,20:45,Inter,1.6,1,Juventus,1.5,2,Serie-A,2019-2020,-1,https://fbref.com/en/matches/5026bc07/Derby-dItalia-Internazionale-Juventus-October-6-2019-Serie-A
76,8.0,Sat,2019-10-19,15:00,Lazio,2.9,3,Atalanta,2.6,3,Serie-A,2019-2020,0,https://fbref.com/en/matches/035b9138/Lazio-Atalanta-October-19-2019-Serie-A
77,8.0,Sat,2019-10-19,18:00,Napoli,2.4,2,Hellas Verona,1.7,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/f99dc9fe/Napoli-Hellas-Verona-October-19-2019-Serie-A
78,8.0,Sat,2019-10-19,20:45,Juventus,2.0,2,Bologna,0.9,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/7bdb3ce3/Juventus-Bologna-October-19-2019-Serie-A
79,8.0,Sun,2019-10-20,12:30,Sassuolo,0.7,3,Inter,2.6,4,Serie-A,2019-2020,-1,https://fbref.com/en/matches/2efbb915/Sassuolo-Internazionale-October-20-2019-Serie-A
80,8.0,Sun,2019-10-20,15:00,Udinese,1.7,1,Torino,0.6,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/3472d845/Udinese-Torino-October-20-2019-Serie-A
81,8.0,Sun,2019-10-20,15:00,Cagliari,1.0,2,SPAL,0.7,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/467d496a/Cagliari-SPAL-October-20-2019-Serie-A
82,8.0,Sun,2019-10-20,15:00,Sampdoria,0.6,0,Roma,0.5,0,Serie-A,2019-2020,0,https://fbref.com/en/matches/d960f719/Sampdoria-Roma-October-20-2019-Serie-A
83,8.0,Sun,2019-10-20,18:00,Parma,2.2,5,Genoa,1.5,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/497798e1/Parma-Genoa-October-20-2019-Serie-A
84,8.0,Sun,2019-10-20,20:45,Milan,1.8,2,Lecce,1.4,2,Serie-A,2019-2020,0,https://fbref.com/en/matches/b64ce217/Milan-Lecce-October-20-2019-Serie-A
85,8.0,Mon,2019-10-21,21:00,Brescia,0.5,0,Fiorentina,0.8,0,Serie-A,2019-2020,0,https://fbref.com/en/matches/2444c7ef/Brescia-Fiorentina-October-21-2019-Serie-A
87,9.0,Fri,2019-10-25,20:45,Hellas Verona,1.3,0,Sassuolo,1.4,1,Serie-A,2019-2020,-1,https://fbref.com/en/matches/11170e59/Hellas-Verona-Sassuolo-October-25-2019-Serie-A
88,9.0,Sat,2019-10-26,15:00,Lecce,1.1,1,Juventus,3.6,1,Serie-A,2019-2020,0,https://fbref.com/en/matches/9d7eb76c/Lecce-Juventus-October-26-2019-Serie-A
89,9.0,Sat,2019-10-26,18:00,Inter,2.5,2,Parma,1.0,2,Serie-A,2019-2020,0,https://fbref.com/en/matches/81cec5cf/Internazionale-Parma-October-26-2019-Serie-A
90,9.0,Sat,2019-10-26,20:45,Genoa,1.1,3,Brescia,1.2,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/0e1aa64b/Genoa-Brescia-October-26-2019-Serie-A
91,9.0,Sun,2019-10-27,12:30,Bologna,1.9,2,Sampdoria,0.6,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/dd08475c/Bologna-Sampdoria-October-27-2019-Serie-A
92,9.0,Sun,2019-10-27,15:00,SPAL,0.7,1,Napoli,0.8,1,Serie-A,2019-2020,0,https://fbref.com/en/matches/3dfaf9b4/SPAL-Napoli-October-27-2019-Serie-A
93,9.0,Sun,2019-10-27,15:00,Atalanta,5.4,7,Udinese,0.4,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/4410ed27/Atalanta-Udinese-October-27-2019-Serie-A
94,9.0,Sun,2019-10-27,15:00,Torino,1.2,1,Cagliari,0.5,1,Serie-A,2019-2020,0,https://fbref.com/en/matches/96fb099e/Torino-Cagliari-October-27-2019-Serie-A
95,9.0,Sun,2019-10-27,18:00,Roma,1.1,2,Milan,0.6,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/cdb7b0cf/Roma-Milan-October-27-2019-Serie-A
96,9.0,Sun,2019-10-27,20:45,Fiorentina,0.6,1,Lazio,2.1,2,Serie-A,2019-2020,-1,https://fbref.com/en/matches/0148cb07/Fiorentina-Lazio-October-27-2019-Serie-A
98,10.0,Tue,2019-10-29,19:00,Parma,1.4,0,Hellas Verona,0.3,1,Serie-A,2019-2020,-1,https://fbref.com/en/matches/a480ae7a/Parma-Hellas-Verona-October-29-2019-Serie-A
99,10.0,Tue,2019-10-29,21:00,Brescia,1.8,1,Inter,0.8,2,Serie-A,2019-2020,-1,https://fbref.com/en/matches/d1c79e58/Brescia-Internazionale-October-29-2019-Serie-A
100,10.0,Wed,2019-10-30,19:00,Napoli,2.7,2,Atalanta,1.8,2,Serie-A,2019-2020,0,https://fbref.com/en/matches/63b092b4/Napoli-Atalanta-October-30-2019-Serie-A
101,10.0,Wed,2019-10-30,21:00,Juventus,2.7,2,Genoa,0.4,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/12d0d3b3/Juventus-Genoa-October-30-2019-Serie-A
102,10.0,Wed,2019-10-30,21:00,Lazio,2.1,4,Torino,0.8,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/18839ced/Lazio-Torino-October-30-2019-Serie-A
103,10.0,Wed,2019-10-30,21:00,Sassuolo,0.8,1,Fiorentina,1.0,2,Serie-A,2019-2020,-1,https://fbref.com/en/matches/69d4c194/Sassuolo-Fiorentina-October-30-2019-Serie-A
104,10.0,Wed,2019-10-30,21:00,Udinese,0.7,0,Roma,3.2,4,Serie-A,2019-2020,-1,https://fbref.com/en/matches/8f542d14/Udinese-Roma-October-30-2019-Serie-A
105,10.0,Wed,2019-10-30,21:00,Sampdoria,1.6,1,Lecce,1.0,1,Serie-A,2019-2020,0,https://fbref.com/en/matches/be084a46/Sampdoria-Lecce-October-30-2019-Serie-A
106,10.0,Wed,2019-10-30,21:00,Cagliari,1.2,3,Bologna,1.1,2,Serie-A,2019-2020,1,https://fbref.com/en/matches/c3c909d6/Cagliari-Bologna-October-30-2019-Serie-A
107,10.0,Thu,2019-10-31,21:00,Milan,2.0,1,SPAL,0.5,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/45a928c4/Milan-SPAL-October-31-2019-Serie-A
109,11.0,Sat,2019-11-02,15:00,Roma,2.2,2,Napoli,1.7,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/73f92283/Derby-del-Sole-Roma-Napoli-November-2-2019-Serie-A
110,11.0,Sat,2019-11-02,18:00,Bologna,0.5,1,Inter,2.3,2,Serie-A,2019-2020,-1,https://fbref.com/en/matches/b68dc4ea/Bologna-Internazionale-November-2-2019-Serie-A
111,11.0,Sat,2019-11-02,20:45,Torino,0.4,0,Juventus,1.2,1,Serie-A,2019-2020,-1,https://fbref.com/en/matches/4c1cbd79/Torino-Juventus-November-2-2019-Serie-A
112,11.0,Sun,2019-11-03,12:30,Atalanta,1.2,0,Cagliari,0.9,2,Serie-A,2019-2020,-1,https://fbref.com/en/matches/3444ce4b/Atalanta-Cagliari-November-3-2019-Serie-A
113,11.0,Sun,2019-11-03,15:00,Hellas Verona,0.9,2,Brescia,0.9,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/03171f2d/Hellas-Verona-Brescia-November-3-2019-Serie-A
114,11.0,Sun,2019-11-03,15:00,Genoa,1.2,1,Udinese,1.4,3,Serie-A,2019-2020,-1,https://fbref.com/en/matches/215d7497/Genoa-Udinese-November-3-2019-Serie-A
115,11.0,Sun,2019-11-03,15:00,Lecce,0.4,2,Sassuolo,2.2,2,Serie-A,2019-2020,0,https://fbref.com/en/matches/4754d203/Lecce-Sassuolo-November-3-2019-Serie-A
116,11.0,Sun,2019-11-03,18:00,Fiorentina,1.4,1,Parma,0.7,1,Serie-A,2019-2020,0,https://fbref.com/en/matches/07b1998d/Fiorentina-Parma-November-3-2019-Serie-A
117,11.0,Sun,2019-11-03,20:45,Milan,0.8,1,Lazio,1.0,2,Serie-A,2019-2020,-1,https://fbref.com/en/matches/86cc1b86/Milan-Lazio-November-3-2019-Serie-A
118,11.0,Mon,2019-11-04,20:45,SPAL,0.6,0,Sampdoria,0.8,1,Serie-A,2019-2020,-1,https://fbref.com/en/matches/5181f1fc/SPAL-Sampdoria-November-4-2019-Serie-A
120,12.0,Fri,2019-11-08,20:45,Sassuolo,2.2,3,Bologna,0.6,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/da587b4e/Sassuolo-Bologna-November-8-2019-Serie-A
121,12.0,Sat,2019-11-09,15:00,Brescia,0.6,0,Torino,3.3,4,Serie-A,2019-2020,-1,https://fbref.com/en/matches/a95e968b/Brescia-Torino-November-9-2019-Serie-A
122,12.0,Sat,2019-11-09,18:00,Inter,2.4,2,Hellas Verona,1.3,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/fc94b998/Internazionale-Hellas-Verona-November-9-2019-Serie-A
123,12.0,Sat,2019-11-09,20:45,Napoli,1.3,0,Genoa,1.2,0,Serie-A,2019-2020,0,https://fbref.com/en/matches/c01005cd/Napoli-Genoa-November-9-2019-Serie-A
124,12.0,Sun,2019-11-10,12:30,Cagliari,2.8,5,Fiorentina,1.0,2,Serie-A,2019-2020,1,https://fbref.com/en/matches/79ea19d6/Cagliari-Fiorentina-November-10-2019-Serie-A
125,12.0,Sun,2019-11-10,15:00,Udinese,1.7,0,SPAL,2.1,0,Serie-A,2019-2020,0,https://fbref.com/en/matches/28b51481/Udinese-SPAL-November-10-2019-Serie-A
126,12.0,Sun,2019-11-10,15:00,Sampdoria,1.1,0,Atalanta,0.6,0,Serie-A,2019-2020,0,https://fbref.com/en/matches/537cf17f/Sampdoria-Atalanta-November-10-2019-Serie-A
127,12.0,Sun,2019-11-10,15:00,Lazio,3.8,4,Lecce,2.5,2,Serie-A,2019-2020,1,https://fbref.com/en/matches/b701c357/Lazio-Lecce-November-10-2019-Serie-A
128,12.0,Sun,2019-11-10,18:00,Parma,0.9,2,Roma,0.8,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/ea544224/Parma-Roma-November-10-2019-Serie-A
129,12.0,Sun,2019-11-10,20:45,Juventus,1.0,1,Milan,0.8,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/a36cd4fc/Juventus-Milan-November-10-2019-Serie-A
131,13.0,Sat,2019-11-23,15:00,Atalanta,2.7,1,Juventus,1.2,3,Serie-A,2019-2020,-1,https://fbref.com/en/matches/8ab6d4c0/Atalanta-Juventus-November-23-2019-Serie-A
132,13.0,Sat,2019-11-23,18:00,Milan,0.9,1,Napoli,1.2,1,Serie-A,2019-2020,0,https://fbref.com/en/matches/90e89892/Milan-Napoli-November-23-2019-Serie-A
133,13.0,Sat,2019-11-23,20:45,Torino,0.6,0,Inter,1.4,3,Serie-A,2019-2020,-1,https://fbref.com/en/matches/d72ad0d5/Torino-Internazionale-November-23-2019-Serie-A
134,13.0,Sun,2019-11-24,12:30,Bologna,0.9,2,Parma,1.3,2,Serie-A,2019-2020,0,https://fbref.com/en/matches/0d88781a/Bologna-Parma-November-24-2019-Serie-A
135,13.0,Sun,2019-11-24,15:00,Hellas Verona,1.4,1,Fiorentina,0.8,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/96d5142a/Hellas-Verona-Fiorentina-November-24-2019-Serie-A
136,13.0,Sun,2019-11-24,15:00,Sassuolo,1.0,1,Lazio,0.9,2,Serie-A,2019-2020,-1,https://fbref.com/en/matches/b0ede599/Sassuolo-Lazio-November-24-2019-Serie-A
137,13.0,Sun,2019-11-24,15:00,Roma,2.2,3,Brescia,0.4,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/d1f9e7d1/Roma-Brescia-November-24-2019-Serie-A
138,13.0,Sun,2019-11-24,18:00,Sampdoria,2.2,2,Udinese,0.3,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/7e327803/Sampdoria-Udinese-November-24-2019-Serie-A
139,13.0,Mon,2019-11-25,15:00,Lecce,3.4,2,Cagliari,1.0,2,Serie-A,2019-2020,0,https://fbref.com/en/matches/66e2d276/Lecce-Cagliari-November-25-2019-Serie-A
140,13.0,Mon,2019-11-25,20:45,SPAL,2.5,1,Genoa,1.5,1,Serie-A,2019-2020,0,https://fbref.com/en/matches/cf57501d/SPAL-Genoa-November-25-2019-Serie-A
142,14.0,Sat,2019-11-30,15:00,Brescia,1.2,0,Atalanta,2.7,3,Serie-A,2019-2020,-1,https://fbref.com/en/matches/6c36b7f9/Brescia-Atalanta-November-30-2019-Serie-A
143,14.0,Sat,2019-11-30,18:00,Genoa,1.0,0,Torino,1.4,1,Serie-A,2019-2020,-1,https://fbref.com/en/matches/64d52be7/Genoa-Torino-November-30-2019-Serie-A
144,14.0,Sat,2019-11-30,20:45,Fiorentina,1.5,0,Lecce,1.1,1,Serie-A,2019-2020,-1,https://fbref.com/en/matches/c501d180/Fiorentina-Lecce-November-30-2019-Serie-A
145,14.0,Sun,2019-12-01,12:30,Juventus,4.6,2,Sassuolo,0.7,2,Serie-A,2019-2020,0,https://fbref.com/en/matches/b94c6b3c/Juventus-Sassuolo-December-1-2019-Serie-A
146,14.0,Sun,2019-12-01,15:00,Lazio,2.9,3,Udinese,0.7,0,Serie-A,2019-2020,1,https://fbref.com/en/matches/05f6d0c2/Lazio-Udinese-December-1-2019-Serie-A
147,14.0,Sun,2019-12-01,15:00,Parma,0.3,0,Milan,1.8,1,Serie-A,2019-2020,-1,https://fbref.com/en/matches/51b61759/Parma-Milan-December-1-2019-Serie-A
148,14.0,Sun,2019-12-01,15:00,Inter,1.9,2,SPAL,1.2,1,Serie-A,2019-2020,1,https://fbref.com/en/matches/c0bac5fc/Internazionale-SPAL-December-1-2019-Serie-A
149,14.0,Sun,2019-12-01,18:00,Napoli,2.1,1,Bologna,1.2,2,Serie-A,2019-2020,-1,https://fbref.com/en/matches/2946d9e8/Napoli-Bologna-December-1-2019-Serie-A
